tag,published_utc,setup_downloads,portable_downloads
v0.358.0,2026-09-07T16:38:46Z,0,0
v0.357.0,2026-09-07T15:03:04Z,0,0
v0.352.0,2026-09-06T16:20:58Z,4,2
v0.351.0,2026-09-06T16:03:45Z,0,0
v0.350.0,2026-09-06T15:56:07Z,0,0
v0.349.0,2026-09-06T15:09:17Z,0,0
v0.348.1,2026-09-06T14:39:20Z,0,0
v0.348.0,2026-09-06T07:45:29Z,0,0
v0.347.0,2026-09-06T03:16:11Z,0,0
v0.346.0,2026-09-06T02:55:41Z,0,1
v0.345.0,2026-09-06T02:20:42Z,0,0
v0.344.1,2026-09-05T11:19:40Z,1,0
v0.343.2,2026-09-04T16:25:43Z,1,1
v0.343.1,2026-09-04T15:17:49Z,1,1
v0.343.0,2026-09-04T15:04:08Z,0,0
v0.342.0,2026-09-04T14:24:59Z,0,0
v0.341.0,2026-09-04T13:38:55Z,1,1
v0.340.0,2026-09-04T12:37:08Z,0,0
v0.339.0,2026-09-04T11:59:34Z,1,1
v0.338.0,2026-09-04T11:35:55Z,0,0
v0.337.0,2026-09-04T11:11:40Z,0,0
v0.336.1,2026-09-04T10:44:31Z,1,1
v0.336.0,2026-09-04T06:58:15Z,1,1
v0.335.0,2026-09-04T05:35:38Z,1,1
v0.334.0,2026-09-04T04:55:08Z,1,1
v0.333.0,2026-09-04T04:30:42Z,1,1
v0.332.0,2026-09-04T04:15:20Z,1,1
v0.331.0,2026-09-04T03:50:29Z,1,1
v0.330.0,2026-09-04T02:25:46Z,0,0
v0.329.0,2026-09-03T23:55:45Z,1,1
v0.328.0,2026-09-03T23:28:59Z,0,0
v0.327.0,2026-09-03T15:33:40Z,0,0
v0.326.0,2026-09-03T14:48:40Z,0,0
v0.325.0,2026-09-03T14:23:04Z,0,0
v0.324.0,2026-09-03T14:18:28Z,0,0
v0.323.0,2026-09-03T12:04:50Z,0,0
v0.322.0,2026-09-03T11:13:21Z,0,0
v0.321.0,2026-09-03T10:28:41Z,0,0
v0.320.0,2026-09-03T09:46:21Z,1,0
v0.319.0,2026-09-03T08:50:05Z,0,0
v0.318.0,2026-09-03T06:28:49Z,0,0
v0.317.0,2026-09-03T05:58:43Z,0,0
v0.316.0,2026-09-03T05:29:14Z,0,0
v0.315.0,2026-09-03T05:20:48Z,0,0
v0.314.0,2026-09-03T04:47:32Z,0,0
v0.313.0,2026-09-03T03:47:26Z,0,0
v0.312.0,2026-09-03T03:07:05Z,0,0
v0.311.0,2026-09-03T02:02:35Z,0,0
v0.310.1,2026-09-02T14:13:26Z,0,0
v0.309.0,2026-09-02T11:55:06Z,0,0
v0.308.0,2026-09-02T09:50:35Z,0,0
v0.307.0,2026-09-02T09:38:36Z,0,0
v0.306.0,2026-09-02T08:35:10Z,0,0
v0.305.0,2026-09-02T07:15:20Z,0,0
v0.304.0,2026-09-02T06:02:03Z,0,0
v0.303.0,2026-09-02T05:55:09Z,0,0
v0.302.0,2026-09-02T05:42:01Z,0,0
v0.301.0,2026-08-31T23:53:46Z,1,0
v0.300.0,2026-08-31T23:39:16Z,0,0
v0.299.0,2026-08-31T18:39:18Z,0,0
v0.298.0,2026-08-31T18:08:48Z,0,0
v0.297.0,2026-08-31T17:35:57Z,0,0
v0.296.0,2026-08-31T17:31:44Z,0,0
v0.295.0,2026-08-31T16:21:08Z,0,0
v0.294.0,2026-08-31T15:58:35Z,0,0
v0.293.0,2026-08-31T15:45:03Z,0,0
v0.292.0,2026-08-31T15:40:50Z,0,0
v0.291.0,2026-08-31T15:30:53Z,0,0
v0.290.0,2026-08-31T15:09:20Z,0,0
v0.289.0,2026-08-31T14:58:24Z,0,0
v0.288.0,2026-08-31T14:43:26Z,0,0
v0.287.0,2026-08-31T14:38:24Z,0,0
v0.286.0,2026-08-31T14:18:14Z,0,0
v0.285.0,2026-08-31T14:07:30Z,0,0
v0.284.0,2026-08-31T14:01:20Z,0,0
v0.283.0,2026-08-31T13:57:11Z,0,0
v0.282.0,2026-08-31T02:55:27Z,1,0
v0.281.0,2026-08-31T02:34:54Z,0,0
v0.280.0,2026-08-30T08:47:55Z,0,0
v0.279.0,2026-08-30T07:54:34Z,0,0
v0.278.0,2026-08-29T16:04:56Z,0,0
v0.277.0,2026-08-29T15:47:11Z,0,0
v0.276.0,2026-08-29T14:11:49Z,0,0
v0.275.0,2026-08-29T11:14:27Z,0,0
v0.274.0,2026-08-29T02:20:23Z,0,0
v0.273.0,2026-08-28T15:13:49Z,0,0
v0.271.0,2026-08-28T15:09:54Z,0,0
v0.270.0,2026-08-28T14:59:13Z,0,0
v0.269.0,2026-08-28T14:54:27Z,0,0
v0.268.0,2026-08-28T14:44:28Z,0,0
v0.267.0,2026-08-28T14:34:40Z,0,0
v0.266.0,2026-08-28T14:29:25Z,0,0
v0.265.0,2026-08-28T14:14:05Z,0,0
v0.264.0,2026-08-28T14:04:12Z,0,0
v0.263.0,2026-08-28T14:00:03Z,0,0
v0.262.0,2026-08-28T13:48:36Z,0,0
v0.261.0,2026-08-28T13:40:08Z,0,0
v0.260.0,2026-08-28T13:27:16Z,0,0
v0.259.0,2026-08-28T13:18:00Z,0,0
v0.258.0,2026-08-28T13:08:13Z,0,0
